
 migrando datos... 

 INICIANDO EL PROCESO. PROCESANDO...
------------------------------;Legajo;Cargo;FechaCategoria;IdCategoria
NO se encontro empleado legajo;900815;1;2021-08-01;156
NO se encontro empleado legajo;900815;1;2021-08-01;226
NO se encontro empleado legajo;900818;1;2021-08-01;156
NO se encontro empleado legajo;900818;1;2021-08-01;226
NO se encontro empleado legajo;900823;1;2021-09-01;156
NO se encontro empleado legajo;900823;1;2021-09-01;226
NO se encontro empleado legajo;900824;1;2021-09-01;156
NO se encontro empleado legajo;900824;1;2021-09-01;226
NO se encontro empleado legajo;900826;1;2021-09-01;156
NO se encontro empleado legajo;900826;1;2021-09-01;226
NO se encontro empleado legajo;900829;1;2021-09-01;156
NO se encontro empleado legajo;900829;1;2021-09-01;226
NO se encontro empleado legajo;900833;1;2021-09-01;156
NO se encontro empleado legajo;900833;1;2021-09-01;226
NO se encontro empleado legajo;900836;1;2021-09-01;156
NO se encontro empleado legajo;900836;1;2021-09-01;226
NO se encontro empleado legajo;900840;1;2021-09-01;156
NO se encontro empleado legajo;900840;1;2021-09-01;226
NO se encontro empleado legajo;900842;1;2021-09-01;156
